layer,coordinate,seed,teacher_direction_norm,teacher_direction_over_mean_base_norm,teacher_half_split_cosine,teacher_mean_row_cosine_to_direction,student_teacherward_projection,student_fraction_of_teacher_direction,student_cosine_to_teacher_direction,student_delta_norm,student_delta_over_mean_base_norm
15,transported_jspace,54102,23.652809143066406,0.19258054945898662,0.9613794088363647,0.8555115461349487,-0.930065393447876,-0.03932156167253883,-0.03419036790728569,27.202577590942383,0.2214826707253955
15,transported_jspace,54103,23.652809143066406,0.19258054945898662,0.9613794088363647,0.8555115461349487,-8.176595687866211,-0.34569237160834665,-0.23279969394207,35.12287139892578,0.28596949443382497
16,transported_jspace,54101,27.730213165283203,0.2262773434071082,0.9448646903038025,0.837303102016449,5.6961164474487305,0.20541192429706867,0.2954322099685669,19.280622482299805,0.15732904787014493
16,transported_jspace,54102,27.730213165283203,0.2262773434071082,0.9448646903038025,0.837303102016449,8.08236312866211,0.29146415429582095,0.34022262692451477,23.7560977935791,0.193848733380108
16,transported_jspace,54103,27.730213165283203,0.2262773434071082,0.9448646903038025,0.837303102016449,7.162405490875244,0.2582888724361559,0.2270425409078598,31.546537399291992,0.2574183845561461
17,transported_jspace,54101,30.122665405273438,0.2347384049309692,0.9571742415428162,0.8702764511108398,4.705904960632324,0.15622471973574034,0.22594746947288513,20.827428817749023,0.16230294875020632
17,transported_jspace,54102,30.122665405273438,0.2347384049309692,0.9571742415428162,0.8702764511108398,6.0349836349487305,0.20034693323958688,0.23033681511878967,26.200695037841797,0.20417546981712437
17,transported_jspace,54103,30.122665405273438,0.2347384049309692,0.9571742415428162,0.8702764511108398,2.3117973804473877,0.07674610959369724,0.0747612714767456,30.922401428222656,0.24097054793250025
18,transported_jspace,54101,33.42331314086914,0.25114814646651223,0.9418690204620361,0.8466454744338989,5.702549934387207,0.17061593835275057,0.26106134057044983,21.843713760375977,0.16413717574142372
18,transported_jspace,54102,33.42331314086914,0.25114814646651223,0.9418690204620361,0.8466454744338989,8.385544776916504,0.25088909473378573,0.3121364116668701,26.865001678466797,0.2018679401389597
18,transported_jspace,54103,33.42331314086914,0.25114814646651223,0.9418690204620361,0.8466454744338989,5.641181945800781,0.16877985500793738,0.16205084323883057,34.811187744140625,0.26157685928353597
19,transported_jspace,54101,38.323280334472656,0.2743529223878269,0.9711598753929138,0.8579867482185364,4.750343322753906,0.12395450705927345,0.214624285697937,22.133296966552734,0.1584502853579881
19,transported_jspace,54102,38.323280334472656,0.2743529223878269,0.9711598753929138,0.8579867482185364,9.982358932495117,0.26047767428498964,0.34343135356903076,29.06653594970703,0.20808472061614516
19,transported_jspace,54103,38.323280334472656,0.2743529223878269,0.9711598753929138,0.8579867482185364,6.143311500549316,0.16030233964662124,0.20349016785621643,30.18971824645996,0.21612548181401298
20,transported_jspace,54101,46.6362419128418,0.32614016368724635,0.9803346991539001,0.866343080997467,5.526482105255127,0.1185018749062915,0.21833465993404388,25.31197738647461,0.17701367240312588
20,transported_jspace,54102,46.6362419128418,0.32614016368724635,0.9803346991539001,0.866343080997467,13.864258766174316,0.29728507695978484,0.40660983324050903,34.097206115722656,0.23845121149861395
20,transported_jspace,54103,46.6362419128418,0.32614016368724635,0.9803346991539001,0.866343080997467,11.030130386352539,0.2365141343714334,0.3160005211830139,34.905418395996094,0.24410326394904605
21,transported_jspace,54101,61.806297302246094,0.35894366705790764,0.9841547012329102,0.84796541929245,13.769325256347656,0.2227819147458825,0.42562568187713623,32.35078811645508,0.1878790839378073
